index,id,category,filename
0,"기관손상_석유제품운반선_제1은희호_기관손상사건","기관손상","기관손상_석유제품운반선_제1은희호_기관손상사건.hwp"
1,"기관손상_어선_제209신광호_기관손상사건","기관손상","기관손상_어선_제209신광호_기관손상사건.hwp"
2,"기관손상_카페리선_골드카페리호_기관손상사건","기관손상","기관손상_카페리선_골드카페리호_기관손상사건.pdf"
3,"기관손상_카페리여객선_대형카훼리3호_기관손상사건","기관손상","기관손상_카페리여객선_대형카훼리3호_기관손상사건.hwp"
4,"기관손상_카페리여객선_드림아일랜드호_기관손상사건","기관손상","기관손상_카페리여객선_드림아일랜드호_기관손상사건.hwp"
5,"기관손상_카페리여객선_섬사랑6호_기관손상사건","기관손상","기관손상_카페리여객선_섬사랑6호_기관손상사건.hwp"
6,"기타_광석운반선_시노글로리호_침수사건","기타","기타_광석운반선_시노글로리호_침수사건.hwp"
7,"기타_낚시어선_호진호_선체손상사건","기타","기타_낚시어선_호진호_선체손상사건.hwp"
8,"기타_산적화물선_씨칭다오_기관실_침수사건","기타","기타_산적화물선_씨칭다오_기관실_침수사건.pdf"
9,"기타_어선_동강2호_닻줄_손상사건","기타","기타_어선_동강2호_닻줄_손상사건.pdf"
10,"기타_어선_신아호_침수사건","기타","기타_어선_신아호_침수사건.pdf"
11,"기타_어선_제207성진호_침수사건","기타","기타_어선_제207성진호_침수사건.hwpx"
12,"기타_여객선_북도고속페리호_정박_부표줄_감김사건","기타","기타_여객선_북도고속페리호_정박_부표줄_감김사건.pdf"
13,"기타_여객선_씨스타11호_기타(객실_창문_손상)사건","기타","기타_여객선_씨스타11호_기타(객실_창문_손상)사건.hwp"
14,"기타_예인선_201해송의_피예인부선_마린1호_침수사건","기타","기타_예인선_201해송의_피예인부선_마린1호_침수사건.hwpx"
15,"기타_예인선_강남티-15호_침수사건","기타","기타_예인선_강남티-15호_침수사건.hwp"
16,"기타_철광석운반선_솔라앰버(SOLAR_EMBER)_기타(선체외판손상)_사건","기타","기타_철광석운반선_솔라앰버(SOLAR_EMBER)_기타(선체외판손상)_사건.hwp"
17,"기타_철광석운반선_스텔라유니콘(STELLAR_UNICORN)_기타(선체외판손상)_사건","기타","기타_철광석운반선_스텔라유니콘(STELLAR_UNICORN)_기타(선체외판손상)_사건.hwp"
18,"기타_철광석운반선_스텔라퀸_기타(상갑판손상)사건","기타","기타_철광석운반선_스텔라퀸_기타(상갑판손상)사건.hwp"
19,"속구손상_예인선_36금양호_속구손상사건","속구손상","속구손상_예인선_36금양호_속구손상사건.pdf"
20,"시설물손상_어선_베드로호_양식장_손상사건","시설물손상","시설물손상_어선_베드로호_양식장_손상사건.hwp"
21,"시설물손상_여객선_북도고속페리호_장봉도선착장_손상사건","시설물손상","시설물손상_여객선_북도고속페리호_장봉도선착장_손상사건.pdf"
22,"시설물손상_예인선_201교동호의_피예인부선_교동비피101호에_의한_어선_연가_d7a3b8d4","시설물손상","시설물손상_예인선_201교동호의_피예인부선_교동비피101호에_의한_어선_연가_d7a3b8d4.hwp"
23,"시설물손상_유류_및_액체화학품산적운반선_거영드림3_폭발사건","시설물손상","시설물손상_유류_및_액체화학품산적운반선_거영드림3_폭발사건.hwp"
24,"시설물손상_철광석운반선_스텔라퀸기타(상갑판_손상)사건","시설물손상","시설물손상_철광석운반선_스텔라퀸기타(상갑판_손상)사건.hwp"
25,"운항저해_여객선_북도고속페리호_운항저해사건","운항저해","운항저해_여객선_북도고속페리호_운항저해사건.pdf"
26,"운항저해_카페리여객선_비금아일랜드호_운항저해사건","운항저해","운항저해_카페리여객선_비금아일랜드호_운항저해사건.hwp"
27,"인명사상_광석운반선_시_차오페이뎬_선원사망사건","인명사상","인명사상_광석운반선_시_차오페이뎬_선원사망사건.hwpx"
28,"인명사상_급유선_대양호_선원_등_부상사건","인명사상","인명사상_급유선_대양호_선원_등_부상사건.hwpx"
29,"인명사상_기타선_빼리호_전복사건","인명사상","인명사상_기타선_빼리호_전복사건.hwp"
30,"인명사상_기타선_해바라기호_관광객부상사건","인명사상","인명사상_기타선_해바라기호_관광객부상사건.hwp"
