timestamp,name,utilization_gpu
2026-08-06T15:09:34+0900,NVIDIA GB10, 0
2026-08-06T15:09:39+0900,NVIDIA GB10, 6
2026-08-06T15:09:44+0900,NVIDIA GB10, 2
2026-08-06T15:09:49+0900,NVIDIA GB10, 1
2026-08-06T15:09:54+0900,NVIDIA GB10, 1
2026-08-06T15:09:59+0900,NVIDIA GB10, 1
2026-08-06T15:10:04+0900,NVIDIA GB10, 1
2026-08-06T15:10:09+0900,NVIDIA GB10, 1
2026-08-06T15:10:14+0900,NVIDIA GB10, 3
2026-08-06T15:10:19+0900,NVIDIA GB10, 3
2026-08-06T15:10:24+0900,NVIDIA GB10, 2
2026-08-06T15:10:29+0900,NVIDIA GB10, 3
2026-08-06T15:10:34+0900,NVIDIA GB10, 2
2026-08-06T15:10:39+0900,NVIDIA GB10, 1
2026-08-06T15:10:44+0900,NVIDIA GB10, 2
2026-08-06T15:10:49+0900,NVIDIA GB10, 2
2026-08-06T15:10:54+0900,NVIDIA GB10, 2
2026-08-06T15:10:59+0900,NVIDIA GB10, 1
2026-08-06T15:11:04+0900,NVIDIA GB10, 1
2026-08-06T15:11:09+0900,NVIDIA GB10, 2
2026-08-06T15:11:14+0900,NVIDIA GB10, 1
2026-08-06T15:11:19+0900,NVIDIA GB10, 2
2026-08-06T15:11:24+0900,NVIDIA GB10, 2
2026-08-06T15:11:29+0900,NVIDIA GB10, 2
2026-08-06T15:11:34+0900,NVIDIA GB10, 1
2026-08-06T15:11:39+0900,NVIDIA GB10, 0
2026-08-06T15:11:44+0900,NVIDIA GB10, 1
2026-08-06T15:11:49+0900,NVIDIA GB10, 2
2026-08-06T15:11:54+0900,NVIDIA GB10, 1
2026-08-06T15:12:00+0900,NVIDIA GB10, 2
2026-08-06T15:12:05+0900,NVIDIA GB10, 1
2026-08-06T15:12:10+0900,NVIDIA GB10, 1
2026-08-06T15:12:15+0900,NVIDIA GB10, 1
2026-08-06T15:12:20+0900,NVIDIA GB10, 0
2026-08-06T15:12:25+0900,NVIDIA GB10, 96
2026-08-06T15:12:30+0900,NVIDIA GB10, 96
2026-08-06T15:12:35+0900,NVIDIA GB10, 96
2026-08-06T15:12:40+0900,NVIDIA GB10, 95
2026-08-06T15:12:45+0900,NVIDIA GB10, 95
2026-08-06T15:12:50+0900,NVIDIA GB10, 95
2026-08-06T15:12:55+0900,NVIDIA GB10, 95
2026-08-06T15:13:00+0900,NVIDIA GB10, 95
2026-08-06T15:13:05+0900,NVIDIA GB10, 95
2026-08-06T15:13:10+0900,NVIDIA GB10, 95
2026-08-06T15:13:15+0900,NVIDIA GB10, 95
2026-08-06T15:13:20+0900,NVIDIA GB10, 95
2026-08-06T15:13:25+0900,NVIDIA GB10, 95
2026-08-06T15:13:30+0900,NVIDIA GB10, 95
2026-08-06T15:13:35+0900,NVIDIA GB10, 95
2026-08-06T15:13:41+0900,NVIDIA GB10, 95
2026-08-06T15:13:46+0900,NVIDIA GB10, 95
2026-08-06T15:13:51+0900,NVIDIA GB10, 95
2026-08-06T15:13:56+0900,NVIDIA GB10, 95
2026-08-06T15:14:01+0900,NVIDIA GB10, 95
2026-08-06T15:14:06+0900,NVIDIA GB10, 95
2026-08-06T15:14:11+0900,NVIDIA GB10, 95
2026-08-06T15:14:16+0900,NVIDIA GB10, 95
2026-08-06T15:14:21+0900,NVIDIA GB10, 95
2026-08-06T15:14:26+0900,NVIDIA GB10, 95
2026-08-06T15:14:31+0900,NVIDIA GB10, 95
2026-08-06T15:14:36+0900,NVIDIA GB10, 95
2026-08-06T15:14:41+0900,NVIDIA GB10, 95
2026-08-06T15:14:46+0900,NVIDIA GB10, 95
2026-08-06T15:14:51+0900,NVIDIA GB10, 95
2026-08-06T15:14:56+0900,NVIDIA GB10, 95
2026-08-06T15:15:02+0900,NVIDIA GB10, 95
2026-08-06T15:15:07+0900,NVIDIA GB10, 95
2026-08-06T15:15:12+0900,NVIDIA GB10, 95
2026-08-06T15:15:17+0900,NVIDIA GB10, 95
2026-08-06T15:15:22+0900,NVIDIA GB10, 95
2026-08-06T15:15:27+0900,NVIDIA GB10, 95
2026-08-06T15:15:32+0900,NVIDIA GB10, 95
