id,category,filename,x,y,z
기관손상_석유제품운반선_제1은희호_기관손상사건,기관손상,기관손상_석유제품운반선_제1은희호_기관손상사건.hwp,-5.1394,28.0399,3.6434
기관손상_어선_제209신광호_기관손상사건,기관손상,기관손상_어선_제209신광호_기관손상사건.hwp,-2.7968,-19.9931,-23.8039
기관손상_카페리선_골드카페리호_기관손상사건,기관손상,기관손상_카페리선_골드카페리호_기관손상사건.pdf,-23.0353,28.0739,-1.3258
기관손상_카페리여객선_대형카훼리3호_기관손상사건,기관손상,기관손상_카페리여객선_대형카훼리3호_기관손상사건.hwp,-26.2772,-15.4845,13.4412
기관손상_카페리여객선_드림아일랜드호_기관손상사건,기관손상,기관손상_카페리여객선_드림아일랜드호_기관손상사건.hwp,-19.9207,-25.1919,18.5089
기관손상_카페리여객선_섬사랑6호_기관손상사건,기관손상,기관손상_카페리여객선_섬사랑6호_기관손상사건.hwp,-6.1425,-6.9289,11.2083
기타_광석운반선_시노글로리호_침수사건,기타,기타_광석운반선_시노글로리호_침수사건.hwp,-34.3656,12.4396,14.6672
기타_낚시어선_호진호_선체손상사건,기타,기타_낚시어선_호진호_선체손상사건.hwp,26.5025,2.6419,38.7754
기타_산적화물선_씨칭다오_기관실_침수사건,기타,기타_산적화물선_씨칭다오_기관실_침수사건.pdf,-41.2962,6.5649,-5.6719
기타_어선_동강2호_닻줄_손상사건,기타,기타_어선_동강2호_닻줄_손상사건.pdf,-2.6,-40.2808,-2.71
기타_어선_신아호_침수사건,기타,기타_어선_신아호_침수사건.pdf,-10.8361,31.3203,5.0099
기타_어선_제207성진호_침수사건,기타,기타_어선_제207성진호_침수사건.hwpx,7.1661,-5.2175,-9.154
기타_여객선_북도고속페리호_정박_부표줄_감김사건,기타,기타_여객선_북도고속페리호_정박_부표줄_감김사건.pdf,-8.1832,22.038,-1.4296
기타_여객선_씨스타11호_기타(객실_창문_손상)사건,기타,기타_여객선_씨스타11호_기타(객실_창문_손상)사건.hwp,1.7917,-33.6811,-10.5461
기타_예인선_201해송의_피예인부선_마린1호_침수사건,기타,기타_예인선_201해송의_피예인부선_마린1호_침수사건.hwpx,-27.6908,6.5707,17.9867
기타_예인선_강남티-15호_침수사건,기타,기타_예인선_강남티-15호_침수사건.hwp,-17.2785,6.6905,5.7794
기타_철광석운반선_솔라앰버(SOLAR_EMBER)_기타(선체외판손상)_사건,기타,기타_철광석운반선_솔라앰버(SOLAR_EMBER)_기타(선체외판손상)_사건.hwp,-30.8428,7.993,23.0418
기타_철광석운반선_스텔라유니콘(STELLAR_UNICORN)_기타(선체외판손상)_사건,기타,기타_철광석운반선_스텔라유니콘(STELLAR_UNICORN)_기타(선체외판손상)_사건.hwp,-29.8476,8.2125,26.6477
기타_철광석운반선_스텔라퀸_기타(상갑판손상)사건,기타,기타_철광석운반선_스텔라퀸_기타(상갑판손상)사건.hwp,-29.3302,5.3247,28.1905
속구손상_예인선_36금양호_속구손상사건,속구손상,속구손상_예인선_36금양호_속구손상사건.pdf,-19.3766,18.7143,2.0116
시설물손상_어선_베드로호_양식장_손상사건,시설물손상,시설물손상_어선_베드로호_양식장_손상사건.hwp,17.312,19.8947,-13.1179
