id,category,filename,x,y
기관손상_석유제품운반선_제1은희호_기관손상사건,기관손상,기관손상_석유제품운반선_제1은희호_기관손상사건.hwp,-2.8407,18.0429
기관손상_어선_제209신광호_기관손상사건,기관손상,기관손상_어선_제209신광호_기관손상사건.hwp,-8.6037,-13.6163
기관손상_카페리선_골드카페리호_기관손상사건,기관손상,기관손상_카페리선_골드카페리호_기관손상사건.pdf,-14.0376,28.4778
기관손상_카페리여객선_대형카훼리3호_기관손상사건,기관손상,기관손상_카페리여객선_대형카훼리3호_기관손상사건.hwp,-2.4532,22.7328
기관손상_카페리여객선_드림아일랜드호_기관손상사건,기관손상,기관손상_카페리여객선_드림아일랜드호_기관손상사건.hwp,3.6376,23.4936
기관손상_카페리여객선_섬사랑6호_기관손상사건,기관손상,기관손상_카페리여객선_섬사랑6호_기관손상사건.hwp,4.6317,10.8123
기타_광석운반선_시노글로리호_침수사건,기타,기타_광석운반선_시노글로리호_침수사건.hwp,-15.5558,13.8836
기타_낚시어선_호진호_선체손상사건,기타,기타_낚시어선_호진호_선체손상사건.hwp,29.4046,1.7436
기타_산적화물선_씨칭다오_기관실_침수사건,기타,기타_산적화물선_씨칭다오_기관실_침수사건.pdf,-15.9539,24.4816
기타_어선_동강2호_닻줄_손상사건,기타,기타_어선_동강2호_닻줄_손상사건.pdf,-0.9915,-22.2885
기타_어선_신아호_침수사건,기타,기타_어선_신아호_침수사건.pdf,-11.1118,8.1745
기타_어선_제207성진호_침수사건,기타,기타_어선_제207성진호_침수사건.hwpx,-3.5487,-12.2668
기타_여객선_북도고속페리호_정박_부표줄_감김사건,기타,기타_여객선_북도고속페리호_정박_부표줄_감김사건.pdf,0.4286,14.6302
기타_여객선_씨스타11호_기타(객실_창문_손상)사건,기타,기타_여객선_씨스타11호_기타(객실_창문_손상)사건.hwp,-0.1559,-4.8524
기타_예인선_201해송의_피예인부선_마린1호_침수사건,기타,기타_예인선_201해송의_피예인부선_마린1호_침수사건.hwpx,-16.2002,15.7894
기타_예인선_강남티-15호_침수사건,기타,기타_예인선_강남티-15호_침수사건.hwp,-8.7368,13.2089
기타_철광석운반선_솔라앰버(SOLAR_EMBER)_기타(선체외판손상)_사건,기타,기타_철광석운반선_솔라앰버(SOLAR_EMBER)_기타(선체외판손상)_사건.hwp,-17.8745,15.0388
기타_철광석운반선_스텔라유니콘(STELLAR_UNICORN)_기타(선체외판손상)_사건,기타,기타_철광석운반선_스텔라유니콘(STELLAR_UNICORN)_기타(선체외판손상)_사건.hwp,-18.5409,14.6724
기타_철광석운반선_스텔라퀸_기타(상갑판손상)사건,기타,기타_철광석운반선_스텔라퀸_기타(상갑판손상)사건.hwp,-18.7353,14.5555
속구손상_예인선_36금양호_속구손상사건,속구손상,속구손상_예인선_36금양호_속구손상사건.pdf,-4.3633,14.7991
시설물손상_어선_베드로호_양식장_손상사건,시설물손상,시설물손상_어선_베드로호_양식장_손상사건.hwp,-15.2228,-0.8857
시설물손상_여객선_북도고속페리호_장봉도선착장_손상사건,시설물손상,시설물손상_여객선_북도고속페리호_장봉도선착장_손상사건.pdf,0.2582,16.8762
시설물손상_예인선_201교동호의_피예인부선_교동비피101호에_의한_어선_연가_d7a3b8d4,시설물손상,시설물손상_예인선_201교동호의_피예인부선_교동비피101호에_의한_어선_연가_d7a3b8d4.hwp,-6.1271,8.4082
시설물손상_유류_및_액체화학품산적운반선_거영드림3_폭발사건,시설물손상,시설물손상_유류_및_액체화학품산적운반선_거영드림3_폭발사건.hwp,-16.3741,16.5211
시설물손상_철광석운반선_스텔라퀸기타(상갑판_손상)사건,시설물손상,시설물손상_철광석운반선_스텔라퀸기타(상갑판_손상)사건.hwp,-13.6523,25.403
운항저해_여객선_북도고속페리호_운항저해사건,운항저해,운항저해_여객선_북도고속페리호_운항저해사건.pdf,0.2693,16.8732
운항저해_카페리여객선_비금아일랜드호_운항저해사건,운항저해,운항저해_카페리여객선_비금아일랜드호_운항저해사건.hwp,3.5973,23.386
인명사상_광석운반선_시_차오페이뎬_선원사망사건,인명사상,인명사상_광석운반선_시_차오페이뎬_선원사망사건.hwpx,-4.0053,-22.9537
인명사상_급유선_대양호_선원_등_부상사건,인명사상,인명사상_급유선_대양호_선원_등_부상사건.hwpx,-16.7086,24.862
인명사상_기타선_빼리호_전복사건,인명사상,인명사상_기타선_빼리호_전복사건.hwp,-3.7082,6.1467
인명사상_기타선_해바라기호_관광객부상사건,인명사상,인명사상_기타선_해바라기호_관광객부상사건.hwp,18.8484,18.8547
인명사상_낚시어선_다원호_승객부상사건,인명사상,인명사상_낚시어선_다원호_승객부상사건.hwp,25.3822,-4.9757
인명사상_낚시어선_삼흥호_승객사망사건,인명사상,인명사상_낚시어선_삼흥호_승객사망사건.hwpx,22.8469,17.3299
인명사상_낚시어선_신진호_승객부상사건,인명사상,인명사상_낚시어선_신진호_승객부상사건.hwp,-25.4052,7.5928
인명사상_낚시어선_트윈스호_수중레저활동자_부상사건,인명사상,인명사상_낚시어선_트윈스호_수중레저활동자_부상사건.hwp,18.1798,-15.1084
인명사상_모터보트_라운지_잠수부_사망사건,인명사상,인명사상_모터보트_라운지_잠수부_사망사건.hwp,-4.7396,-0.9135
인명사상_모터보트_로얄마린_수중레저활동자_사망사건,인명사상,인명사상_모터보트_로얄마린_수중레저활동자_사망사건.hwpx,-5.0666,-2.3139
인명사상_부선_한강6호_선원사망사건,인명사상,인명사상_부선_한강6호_선원사망사건.pdf,-12.6928,-12.7252
인명사상_산적화물선_디엘아이비_작업원_사망사건,인명사상,인명사상_산적화물선_디엘아이비_작업원_사망사건.pdf,-7.1713,-20.2661
인명사상_산적화물선_프린세스호_작업원부상사건,인명사상,인명사상_산적화물선_프린세스호_작업원부상사건.hwp,-28.5172,5.7211
인명사상_석유제품운반선_한유비전_선원부상사건,인명사상,인명사상_석유제품운반선_한유비전_선원부상사건.hwpx,-4.8602,10.3111
인명사상_시험조사선_이사부호_선원사망사건,인명사상,인명사상_시험조사선_이사부호_선원사망사건.hwp,-5.6674,-16.4284
인명사상_액체화학품산적운반선_골든_브리지_하나_선원사망사건,인명사상,인명사상_액체화학품산적운반선_골든_브리지_하나_선원사망사건.hwp,-29.5254,2.2493
인명사상_액화천연가스운반선_현대_테크노피아_선원사망사건,인명사상,인명사상_액화천연가스운반선_현대_테크노피아_선원사망사건.hwp,-27.9467,6.1468
인명사상_어선_103대승호_선원부상사건,인명사상,인명사상_어선_103대승호_선원부상사건.pdf,-0.5418,-15.8979
인명사상_어선_12재성호_선원부상사건,인명사상,인명사상_어선_12재성호_선원부상사건.hwp,-22.7598,-5.2124
인명사상_어선_1만복호_선원사망사건,인명사상,인명사상_어선_1만복호_선원사망사건.hwp,-23.1641,-11.3152
인명사상_어선_2020안성호_선원사망사건,인명사상,인명사상_어선_2020안성호_선원사망사건.hwpx,-8.3868,-17.7891
인명사상_어선_202미성호_선원사망사건,인명사상,인명사상_어선_202미성호_선원사망사건.hwpx,-28.5291,-0.1282
인명사상_어선_203남광호_선원사망사건,인명사상,인명사상_어선_203남광호_선원사망사건.hwp,-16.148,-6.6844
인명사상_어선_206분도호_선원사망사건,인명사상,인명사상_어선_206분도호_선원사망사건.hwpx,-28.1633,0.1868
인명사상_어선_209대청호_선원사망사건,인명사상,인명사상_어선_209대청호_선원사망사건.hwpx,-26.2865,-10.9513
인명사상_어선_219신흥호_선원부상사건,인명사상,인명사상_어선_219신흥호_선원부상사건.hwp,-14.1549,-5.9247
